"id","name","party","rank","title","committee"
"L000551","Barbara Lee","minority",11,"Member","HSAP"
"H001034","Michael M. Honda","minority",12,"Member","HSAP"
"M001143","Betty McCollum","minority",13,"Member","HSAP"
"I000057","Steve Israel","minority",14,"Member","HSAP"
"R000577","Tim Ryan","minority",15,"Member","HSAP"
"R000576","C. A. Dutch Ruppersberger","minority",16,"Member","HSAP"
"W000797","Debbie Wasserman Schultz","minority",17,"Member","HSAP"
"C001063","Henry Cuellar","minority",18,"Member","HSAP"
"P000597","Chellie Pingree","minority",19,"Member","HSAP"
"Q000023","Mike Quigley","minority",20,"Member","HSAP"
"K000381","Derek Kilmer","minority",21,"Member","HSAP"
"A000055","Robert B. Aderholt","majority",1,"Chair","HSAP01"
"Y000063","Kevin Yoder","majority",2,"Member","HSAP01"
"R000583","Thomas J. Rooney","majority",3,"Member","HSAP01"
"V000129","David G. Valadao","majority",4,"Vice Chair","HSAP01"
"H001052","Andy Harris","majority",5,"Member","HSAP01"
"Y000066","David Young","majority",6,"Member","HSAP01"
"P000601","Steven M. Palazzo","majority",7,"Member","HSAP01"
"F000030","Sam Farr","minority",1,"Ranking Member","HSAP01"
"D000216","Rosa L. DeLauro","minority",2,"Member","HSAP01"
"B000490","Sanford D. Bishop Jr.","minority",3,"Member","HSAP01"
"P000597","Chellie Pingree","minority",4,"Member","HSAP01"
"F000372","Rodney P. Frelinghuysen","majority",1,"Chair","HSAP02"
"G000377","Kay Granger","majority",2,"Vice Chair","HSAP02"
"C001045","Ander Crenshaw","majority",3,"Member","HSAP02"
"C000059","Ken Calvert","majority",4,"Member","HSAP02"
"C001053","Tom Cole","majority",5,"Member","HSAP02"
"W000809","Steve Womack","majority",6,"Member","HSAP02"
"A000055","Robert B. Aderholt","majority",7,"Member","HSAP02"
"C001051","John R. Carter","majority",8,"Member","HSAP02"
"D000600","Mario Diaz-Balart","majority",9,"Member","HSAP02"
"G000560","Tom Graves","majority",10,"Member","HSAP02"
"V000108","Peter J. Visclosky","minority",1,"Ranking Member","HSAP02"
"M001143","Betty McCollum","minority",2,"Member","HSAP02"
"I000057","Steve Israel","minority",3,"Member","HSAP02"
"R000577","Tim Ryan","minority",4,"Member","HSAP02"
"R000576","C. A. Dutch Ruppersberger","minority",5,"Member","HSAP02"
"K000009","Marcy Kaptur","minority",6,"Member","HSAP02"
"G000377","Kay Granger","majority",1,"Chair","HSAP04"
"D000600","Mario Diaz-Balart","majority",2,"Member","HSAP04"
"D000604","Charles W. Dent","majority",3,"Vice Chair","HSAP04"
"C001045","Ander Crenshaw","majority",4,"Member","HSAP04"
"R000583","Thomas J. Rooney","majority",5,"Member","HSAP04"
"F000449","Jeff Fortenberry","majority",6,"Member","HSAP04"
"S001192","Chris Stewart","majority",7,"Member","HSAP04"
"L000480","Nita M. Lowey","minority",1,"Ranking Member","HSAP04"
"L000551","Barbara Lee","minority",2,"Member","HSAP04"
"R000576","C. A. Dutch Ruppersberger","minority",3,"Member","HSAP04"
"W000797","Debbie Wasserman Schultz","minority",4,"Member","HSAP04"
"S000248","José E. Serrano","minority",5,"Member","HSAP04"
"C000059","Ken Calvert","majority",1,"Chair","HSAP06"
"S001148","Michael K. Simpson","majority",2,"Vice Chair","HSAP06"
"C001053","Tom Cole","majority",3,"Member","HSAP06"
"J000295","David P. Joyce","majority",4,"Member","HSAP06"
"S001192","Chris Stewart","majority",5,"Member","HSAP06"
"A000369","Mark E. Amodei","majority",6,"Member","HSAP06"
"J000297","Evan H. Jenkins","majority",7,"Member","HSAP06"
"M001143","Betty McCollum","minority",1,"Ranking Member","HSAP06"
"P000597","Chellie Pingree","minority",2,"Member","HSAP06"
"K000381","Derek Kilmer","minority",3,"Member","HSAP06"
"I000057","Steve Israel","minority",4,"Member","HSAP06"
"C001053","Tom Cole","majority",1,"Chair","HSAP07"
"S001148","Michael K. Simpson","majority",2,"Member","HSAP07"
"W000809","Steve Womack","majority",3,"Vice Chair","HSAP07"
"F000459","Charles J. ""Chuck"" Fleischmann","majority",4,"Member","HSAP07"
"H001052","Andy Harris","majority",5,"Member","HSAP07"
"R000591","Martha Roby","majority",6,"Member","HSAP07"
"D000604","Charles W. Dent","majority",7,"Member","HSAP07"
"R000589","E. Scott Rigell","majority",8,"Member","HSAP07"
"D000216","Rosa L. DeLauro","minority",1,"Ranking Member","HSAP07"
"R000486","Lucille Roybal-Allard","minority",2,"Member","HSAP07"
"L000551","Barbara Lee","minority",3,"Member","HSAP07"
"F000043","Chaka Fattah","minority",4,"Member","HSAP07"
"S001148","Michael K. Simpson","majority",1,"Chair","HSAP10"
"F000372","Rodney P. Frelinghuysen","majority",2,"Member","HSAP10"
"C000059","Ken Calvert","majority",3,"Member","HSAP10"
"F000459","Charles J. ""Chuck"" Fleischmann","majority",4,"Vice Chair","HSAP10"
"F000449","Jeff Fortenberry","majority",5,"Member","HSAP10"
"G000377","Kay Granger","majority",6,"Member","HSAP10"
"H001056","Jaime Herrera Beutler","majority",7,"Member","HSAP10"
"V000129","David G. Valadao","majority",8,"Member","HSAP10"
"K000009","Marcy Kaptur","minority",1,"Ranking Member","HSAP10"
"V000108","Peter J. Visclosky","minority",2,"Member","HSAP10"
"H001034","Michael M. Honda","minority",3,"Member","HSAP10"
"R000486","Lucille Roybal-Allard","minority",4,"Member","HSAP10"
"C001051","John R. Carter","majority",1,"Chair","HSAP15"
"C001048","John Abney Culberson","majority",2,"Member","HSAP15"
"F000372","Rodney P. Frelinghuysen","majority",3,"Vice Chair","HSAP15"
"F000459","Charles J. ""Chuck"" Fleischmann","majority",4,"Member","HSAP15"
"H001052","Andy Harris","majority",5,"Member","HSAP15"
"S001192","Chris Stewart","majority",6,"Member","HSAP15"
"Y000066","David Young","majority",7,"Member","HSAP15"
"R000486","Lucille Roybal-Allard","minority",1,"Ranking Member","HSAP15"
"P000523","David E. Price","minority",2,"Member","HSAP15"
"C001063","Henry Cuellar","minority",3,"Member","HSAP15"
"K000009","Marcy Kaptur","minority",4,"Member","HSAP15"
"D000604","Charles W. Dent","majority",1,"Chair","HSAP18"
"F000449","Jeff Fortenberry","majority",2,"Vice Chair","HSAP18"
"R000583","Thomas J. Rooney","majority",3,"Member","HSAP18"
"R000591","Martha Roby","majority",4,"Member","HSAP18"
"V000129","David G. Valadao","majority",5,"Member","HSAP18"
"J000295","David P. Joyce","majority",6,"Member","HSAP18"
"J000296","David W. Jolly","majority",7,"Member","HSAP18"
"B000490","Sanford D. Bishop Jr.","minority",1,"Ranking Member","HSAP18"
"F000030","Sam Farr","minority",2,"Member","HSAP18"
"P000523","David E. Price","minority",3,"Member","HSAP18"
"L000551","Barbara Lee","minority",4,"Member","HSAP18"
"C001048","John Abney Culberson","majority",1,"Chair","HSAP19"
"A000055","Robert B. Aderholt","majority",2,"Vice Chair","HSAP19"
"C001051","John R. Carter","majority",3,"Member","HSAP19"
"H001056","Jaime Herrera Beutler","majority",4,"Member","HSAP19"
"R000591","Martha Roby","majority",5,"Member","HSAP19"
"J000296","David W. Jolly","majority",6,"Member","HSAP19"
"P000601","Steven M. Palazzo","majority",7,"Member","HSAP19"
"H001034","Michael M. Honda","minority",1,"Ranking Member","HSAP19"
"F000043","Chaka Fattah","minority",2,"Member","HSAP19"
"S000248","José E. Serrano","minority",3,"Member","HSAP19"
"K000381","Derek Kilmer","minority",4,"Member","HSAP19"
"D000600","Mario Diaz-Balart","majority",1,"Chair","HSAP20"
"J000295","David P. Joyce","majority",2,"Member","HSAP20"
"C001048","John Abney Culberson","majority",3,"Member","HSAP20"
"Y000063","Kevin Yoder","majority",4,"Vice Chair","HSAP20"
"J000296","David W. Jolly","majority",5,"Member","HSAP20"
"Y000066","David Young","majority",6,"Member","HSAP20"
"J000297","Evan H. Jenkins","majority",7,"Member","HSAP20"
"P000523","David E. Price","minority",1,"Ranking Member","HSAP20"
"Q000023","Mike Quigley","minority",2,"Member","HSAP20"
"R000577","Tim Ryan","minority",3,"Member","HSAP20"
"C001063","Henry Cuellar","minority",4,"Member","HSAP20"
"C001045","Ander Crenshaw","majority",1,"Chair","HSAP23"
"G000560","Tom Graves","majority",2,"Member","HSAP23"
"Y000063","Kevin Yoder","majority",3,"Member","HSAP23"
"W000809","Steve Womack","majority",4,"Member","HSAP23"
"H001056","Jaime Herrera Beutler","majority",5,"Vice Chair","HSAP23"
"A000369","Mark E. Amodei","majority",6,"Member","HSAP23"
"R000589","E. Scott Rigell","majority",7,"Member","HSAP23"
"S000248","José E. Serrano","minority",1,"Ranking Member","HSAP23"
"Q000023","Mike Quigley","minority",2,"Member","HSAP23"
"F000043","Chaka Fattah","minority",3,"Member","HSAP23"
"B000490","Sanford D. Bishop Jr.","minority",4,"Member","HSAP23"
"G000560","Tom Graves","majority",1,"Chair","HSAP24"
"A000369","Mark E. Amodei","majority",2,"Vice Chair","HSAP24"
"R000589","E. Scott Rigell","majority",3,"Member","HSAP24"
"J000297","Evan H. Jenkins","majority",4,"Member","HSAP24"
"P000601","Steven M. Palazzo","majority",5,"Member","HSAP24"
"W000797","Debbie Wasserman Schultz","minority",1,"Ranking Member","HSAP24"
"F000030","Sam Farr","minority",2,"Member","HSAP24"
"M001143","Betty McCollum","minority",3,"Member","HSAP24"
"T000238","Mac Thornberry","majority",1,"Chair","HSAS"
"J000255","Walter B. Jones","majority",2,"Member","HSAS"
"F000445","J. Randy Forbes","majority",3,"Member","HSAS"
"M001144","Jeff Miller","majority",4,"Member","HSAS"
"W000795","Joe Wilson","majority",5,"Member","HSAS"
"L000554","Frank A. LoBiondo","majority",6,"Member","HSAS"
"B001250","Rob Bishop","majority",7,"Member","HSAS"
"T000463","Michael R. Turner","majority",8,"Member","HSAS"
"K000363","John Kline","majority",9,"Member","HSAS"
"R000575","Mike Rogers","majority",10,"Member","HSAS"
"F000448","Trent Franks","majority",11,"Member","HSAS"
"S001154","Bill Shuster","majority",12,"Member","HSAS"
"C001062","K. Michael Conaway","majority",13,"Member","HSAS"
"L000564","Doug Lamborn","majority",14,"Member","HSAS"
"W000804","Robert J. Wittman","majority",15,"Member","HSAS"
"H001048","Duncan Hunter","majority",16,"Member","HSAS"
"F000456","John Fleming","majority",17,"Member","HSAS"
"C001077","Mike Coffman","majority",18,"Member","HSAS"
"G000564","Christopher P. Gibson","majority",19,"Member","HSAS"
"H001053","Vicky Hartzler","majority",20,"Member","HSAS"
"H001055","Joseph J. Heck","majority",21,"Member","HSAS"
"S001189","Austin Scott","majority",22,"Member","HSAS"
"B001274","Mo Brooks","majority",23,"Member","HSAS"
"N000185","Richard B. Nugent","majority",24,"Member","HSAS"
"C001094","Paul Cook","majority",25,"Member","HSAS"
"B001283","Jim Bridenstine","majority",26,"Member","HSAS"
"W000815","Brad R. Wenstrup","majority",27,"Member","HSAS"
"W000813","Jackie Walorski","majority",28,"Member","HSAS"
"B001289","Bradley Byrne","majority",29,"Member","HSAS"
"G000546","Sam Graves","majority",30,"Member","HSAS"
"Z000018","Ryan K. Zinke","majority",31,"Member","HSAS"
"S001196","Elise M. Stefanik","majority",32,"Member","HSAS"
"M001197","Martha McSally","majority",33,"Member","HSAS"
"K000387","Stephen Knight","majority",34,"Member","HSAS"
"M001193","Thomas MacArthur","majority",35,"Member","HSAS"
"R000604","Steve Russell","majority",36,"Member","HSAS"
"S000510","Adam Smith","minority",1,"Ranking Member","HSAS"
"S000030","Loretta Sanchez","minority",2,"Member","HSAS"
"B001227","Robert A. Brady","minority",3,"Member","HSAS"
"D000598","Susan A. Davis","minority",4,"Member","HSAS"
"L000559","James R. Langevin","minority",5,"Member","HSAS"
"L000560","Rick Larsen","minority",6,"Member","HSAS"
"C000754","Jim Cooper","minority",7,"Member","HSAS"
"B001245","Madeleine Z. Bordallo","minority",8,"Member","HSAS"
"C001069","Joe Courtney","minority",9,"Member","HSAS"
"T000465","Niki Tsongas","minority",10,"Member","HSAS"
"G000559","John Garamendi","minority",11,"Member","HSAS"
"J000288","Henry C. ""Hank"" Johnson Jr.","minority",12,"Member","HSAS"
"S001175","Jackie Speier","minority",13,"Member","HSAS"
"C001091","Joaquin Castro","minority",14,"Member","HSAS"
"D000622","Tammy Duckworth","minority",15,"Member","HSAS"
"P000608","Scott H. Peters","minority",16,"Member","HSAS"
"V000131","Marc A. Veasey","minority",17,"Member","HSAS"
"G000571","Tulsi Gabbard","minority",18,"Member","HSAS"
"W000799","Timothy J. Walz","minority",19,"Member","HSAS"
"O000170","Beto O'Rourke","minority",20,"Member","HSAS"
"N000188","Donald Norcross","minority",21,"Member","HSAS"
